,mv
2020-11-06,112479.3902873629
2020-11-09,112921.3480527042
2020-11-10,112732.38375491837
2020-11-11,112079.74766249662
2020-11-12,112106.95339792628
2020-11-13,96457.89805598708
2020-11-16,50423.53438024705
2020-11-17,50447.840854792055
2020-11-18,50413.49137176231
2020-11-19,50446.34000886245
2020-11-20,50484.52305691959
2020-11-23,50535.07213976955
2020-11-24,50496.01433416906
2020-11-25,50420.48284178312
2020-11-26,50419.748991060806
2020-11-27,39014.38094170538
2020-11-30,443600.3656073558
2020-12-01,451878.6273078999
2020-12-02,452113.2957759807
2020-12-03,449317.1702193742
2020-12-04,411942.60311652045
2020-12-07,356640.9223238947
2020-12-08,342679.6216795329
2020-12-09,302913.2883177816
2020-12-10,228451.71957815107
2020-12-11,178856.20165919926
2020-12-14,141819.88540929364
2020-12-15,446532.30116733763
2020-12-16,415044.2400727228
2020-12-17,418929.7023079604
2020-12-18,418199.8600394865
2020-12-21,313243.2296985251
2020-12-22,310435.98751069437
2020-12-23,273938.40746258455
2020-12-24,272114.9133371414
2020-12-25,248150.4691391899
2020-12-28,245580.01765049246
2020-12-29,243402.22630203707
2020-12-30,234112.78824557157
2020-12-31,442733.5158432838
2021-01-04,443453.0110727428
2021-01-05,444309.87730835314
2021-01-06,444552.37924728723
2021-01-07,422851.56007003493
2021-01-08,400071.9430784337
2021-01-11,384387.11253852426
2021-01-12,367382.76533159765
2021-01-13,345305.1004438396
2021-01-14,329560.5043004213
2021-01-15,540511.869773597
2021-01-18,517049.49161845626
2021-01-19,445840.06826323556
2021-01-20,432250.5500318104
2021-01-21,329315.60187259293
2021-01-22,307670.28020384343
2021-01-25,287038.64750721294
2021-01-26,284226.63340385875
2021-01-27,234454.89445160987
2021-01-28,203540.22547776953
2021-01-29,177452.09717558598
2021-02-01,175401.03935626434
2021-02-02,148219.78969484038
2021-02-03,127710.72124048529
2021-02-04,127659.16580069397
2021-02-05,121975.4344346021
2021-02-08,94636.42573878243
2021-02-09,86183.71932979887
2021-02-10,80626.20804848881
2021-02-18,76518.34177013033
2021-02-19,74511.9428551895
2021-02-22,74162.3695661116
2021-02-23,73051.18931942
2021-02-24,70157.75637972963
2021-02-25,48451.86816711458
2021-02-26,48271.52150867704
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-15,329196.21929663996
2021-03-16,329806.75843751547
2021-03-17,332225.3319234049
2021-03-18,333538.16460987885
2021-03-19,182033.871095172
2021-03-22,159808.96714813373
2021-03-23,159234.48379070536
2021-03-24,131254.41770088632
2021-03-25,107057.63255834673
2021-03-26,92976.08375011287
2021-03-29,82331.13818475741
2021-03-30,67200.7671520029
2021-03-31,323174.84479317715
2021-04-01,325735.4119183571
2021-04-02,327455.5265486942
2021-04-06,326511.9680897427
2021-04-07,245335.259044145
2021-04-08,245164.67620108306
2021-04-09,237583.8720969642
2021-04-12,207767.8321304784
2021-04-13,195033.46454246988
2021-04-14,135594.2563928948
2021-04-15,185261.12967739426
2021-04-16,184947.6331801407
2021-04-19,187228.14942270526
2021-04-20,187195.2574948238
2021-04-21,131981.85822394743
2021-04-22,132134.71742880446
2021-04-23,132807.1523095625
2021-04-26,132590.91453451983
2021-04-27,132692.7834113219
2021-04-28,133019.72778924924
2021-04-29,127653.40312298859
2021-04-30,277906.46169928956
2021-05-06,275205.0338436668
2021-05-07,273065.04442781885
2021-05-10,272547.74819160264
2021-05-11,142390.07259525167
2021-05-12,116682.56849661471
2021-05-13,115388.86865532964
2021-05-14,114989.01710494196
2021-05-17,115529.96397261838
2021-05-18,106631.66570575598
2021-05-19,105025.68685523269
2021-05-20,104634.97700148943
2021-05-21,104854.47593037265
2021-05-24,100416.75220552883
2021-05-25,86398.66837709692
2021-05-26,86299.23490441826
2021-05-27,86363.76380801362
2021-05-28,86459.27297707282
2021-05-31,359702.8015958629
2021-06-01,360457.1217323621
2021-06-02,357158.5783200361
2021-06-03,354749.52208054037
2021-06-04,280395.79585452797
2021-06-07,229664.28438526412
2021-06-08,190179.0188398897
2021-06-09,168988.615940825
2021-06-10,147557.71872338303
2021-06-11,126097.88689452494
2021-06-15,312746.44133816287
2021-06-16,306487.3030821765
2021-06-17,285269.466971565
2021-06-18,286487.13787037035
2021-06-21,130706.63367582574
2021-06-22,126748.40763345422
2021-06-23,124248.55983473547
2021-06-24,122579.37157428132
2021-06-25,121859.84732477766
2021-06-28,110085.17323529831
2021-06-29,109428.09900492798
2021-06-30,278202.8425764558
2021-07-01,276628.5966215904
2021-07-02,263554.4365558628
2021-07-05,265615.3301623328
2021-07-06,220296.22154513493
2021-07-07,161384.7533535308
2021-07-08,160747.2407755669
2021-07-09,146965.95882680637
2021-07-12,139207.9113203586
2021-07-13,135500.7102517544
2021-07-14,131242.82955198464
2021-07-15,284846.2926202206
2021-07-16,283289.36503375333
2021-07-19,258619.03514413338
2021-07-20,259377.51950331856
2021-07-21,202056.24985231637
2021-07-22,201111.1066213305
2021-07-23,182186.46276773946
2021-07-26,165065.93737761077
2021-07-27,149885.9708683934
2021-07-28,149269.25316614567
2021-07-29,121409.12909560399
2021-07-30,95873.49730172053
2021-08-02,92431.19504118437
2021-08-03,91803.56768857905
2021-08-04,90287.60484475513
2021-08-05,71602.26690392314
2021-08-06,70709.28586006048
2021-08-09,70437.1049234415
2021-08-10,58698.281123808665
2021-08-11,45862.799671632485
2021-08-12,31811.81931854528
2021-08-13,31764.822475035053
2021-08-16,31675.64059048845
2021-08-17,17156.13627550332
2021-08-18,17172.07807343384
2021-08-19,0.0
2021-08-20,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,219347.98250675364
2021-09-16,217018.9019331502
2021-09-17,216677.42373781445
2021-09-22,217334.87157817834
2021-09-23,72583.67166297746
2021-09-24,61466.70524090448
2021-09-27,42312.45056607515
2021-09-28,42394.17021168263
2021-09-29,21370.642217174183
2021-09-30,0.0
2021-10-08,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,206488.87645124248
2021-10-18,207539.99517459364
2021-10-19,207771.713631638
2021-10-20,208465.46370341405
2021-10-21,177249.0345280932
2021-10-22,176530.03082011646
2021-10-25,167159.45162103476
2021-10-26,167430.39240324387
2021-10-27,167762.99880201163
2021-10-28,166307.9397143074
2021-10-29,155855.9152981483
2021-11-01,125361.50165754922
2021-11-02,93798.60747384728
2021-11-03,93544.33071835987
2021-11-04,76121.93115328875
2021-11-05,45205.4566054191
2021-11-08,45308.03087370731
2021-11-09,45372.34048665933
2021-11-10,34608.131189916894
2021-11-11,34606.39476916491
2021-11-12,34599.49392776151
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-29,0.0
2021-11-30,200058.17739701216
2021-12-01,199926.7707552589
2021-12-02,200134.9624538884
2021-12-03,200109.06158305207
2021-12-06,111289.75728269185
2021-12-07,110865.25097014105
2021-12-08,111263.61609725938
2021-12-09,66594.25736361911
2021-12-10,56559.53243575696
2021-12-13,56698.038181831886
2021-12-14,56643.24248682415
2021-12-15,315998.22659635515
2021-12-16,317089.3925369918
2021-12-17,314318.43638573366
2021-12-20,310348.976410465
2021-12-21,141955.12237810623
2021-12-22,119841.58004768328
2021-12-23,85699.50545337431
2021-12-24,84326.73365483788
2021-12-27,64567.23005679567
2021-12-28,63987.676635435506
2021-12-29,56381.32524710412
2021-12-30,56394.49105360875
2021-12-31,240575.79727336895
2022-01-04,239212.7099351729
2022-01-05,236745.9821397603
2022-01-06,237294.22888758496
2022-01-07,111259.38804687199
2022-01-10,83998.85263988933
2022-01-11,68030.87837815889
2022-01-12,58321.001470947886
2022-01-13,58228.89835012174
2022-01-14,53292.40236219508
2022-01-17,41782.922215408194
2022-01-18,41865.85018560012
2022-01-19,31975.830084061567
2022-01-20,32034.80013200305
2022-01-21,31990.492905765812
2022-01-24,31982.765393309728
2022-01-25,31937.022724684688
2022-01-26,20730.898007444976
2022-01-27,20739.61755581946
2022-01-28,20714.183054379224
2022-02-07,20765.535014662324
2022-02-08,20775.006765399532
2022-02-09,20770.452136430682
2022-02-10,20768.03472554242
2022-02-11,20762.50041849468
2022-02-14,20757.28061808669
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
