调仓日,方向,代码,名称,参考价(元),手数(手),股数(股),金额(元),手续费(元),调仓原因
2020-01-23,持有,603986,兆易创新,283.0,--,--,--,--,继续持有
2020-01-23,持有,300661,圣邦股份,275.11,--,--,--,--,继续持有
2020-01-23,持有,002552,宝鼎科技,21.61,--,--,--,--,继续持有
2020-01-23,持有,600223,福瑞达,10.12,--,--,--,--,继续持有
2020-01-23,持有,300468,四方精创,38.8,--,--,--,--,继续持有
2020-01-23,持有,300088,长信科技,12.67,--,--,--,--,继续持有
2020-01-23,持有,300341,麦克奥迪,13.5,--,--,--,--,继续持有
2020-01-23,持有,603799,华友钴业,47.2,--,--,--,--,继续持有
2020-01-23,持有,002045,国光电器,12.81,--,--,--,--,继续持有
2020-02-17,卖出,300552,万集科技,90.17,2,200,18034.0,22.54,移出持仓池
2020-02-17,卖出,300661,圣邦股份,281.78,0,0,0.0,0.0,移出持仓池
2020-02-17,卖出,002552,宝鼎科技,20.61,9,900,18549.0,23.19,移出持仓池
2020-02-17,卖出,600223,福瑞达,9.04,22,2200,19888.0,24.86,移出持仓池
2020-02-17,卖出,603825,ST华扬,28.48,7,700,19936.0,24.92,移出持仓池
2020-02-17,卖出,603920,世运电路,29.3,6,600,17580.0,21.98,移出持仓池
2020-02-17,卖出,603160,汇顶科技,324.48,0,0,0.0,0.0,移出持仓池
2020-02-17,卖出,603799,华友钴业,54.6,3,300,16380.0,20.48,移出持仓池
2020-02-17,卖出,601689,拓普集团,25.13,7,700,17591.0,21.99,移出持仓池
2020-02-17,卖出,002045,国光电器,13.3,15,1500,19950.0,24.94,移出持仓池
2020-02-17,买入,002623,亚玛顿,43.84,4,400,17536.0,21.92,纳入持仓池
2020-02-17,买入,300160,秀强股份,10.29,19,1900,19551.0,24.44,纳入持仓池
2020-02-17,买入,002460,赣锋锂业,62.0,3,300,18600.0,23.25,纳入持仓池
2020-02-17,买入,300548,长芯博创,93.48,2,200,18696.0,23.37,纳入持仓池
2020-02-17,买入,300655,晶瑞电材,47.29,4,400,18916.0,23.64,纳入持仓池
2020-02-17,买入,300397,天和防务,47.77,4,400,19108.0,23.89,纳入持仓池
2020-02-17,买入,300346,南大光电,25.72,7,700,18004.0,22.5,纳入持仓池
2020-02-17,买入,300390,天华新能,13.33,15,1500,19995.0,24.99,纳入持仓池
2020-02-17,买入,300014,亿纬锂能,77.03,2,200,15406.0,19.26,纳入持仓池
2020-02-17,买入,002371,北方华创,146.4,1,100,14640.0,18.3,纳入持仓池
2020-02-17,持有,603005,晶方科技,104.5,--,--,--,--,继续持有
2020-02-17,持有,300598,诚迈科技,225.98,--,--,--,--,继续持有
2020-02-17,持有,002291,遥望科技,27.17,--,--,--,--,继续持有
2020-02-17,持有,000700,模塑科技,13.71,--,--,--,--,继续持有
2020-02-17,持有,000818,航锦科技,30.76,--,--,--,--,继续持有
2020-02-17,持有,002351,漫步者,21.1,--,--,--,--,继续持有
2020-02-17,持有,603986,兆易创新,318.0,--,--,--,--,继续持有
2020-02-17,持有,002605,姚记科技,36.23,--,--,--,--,继续持有
2020-02-17,持有,002156,通富微电,28.65,--,--,--,--,继续持有
2020-02-17,持有,600745,*ST闻泰,124.46,--,--,--,--,继续持有
2020-02-17,持有,300433,蓝思科技,22.44,--,--,--,--,继续持有
2020-02-17,持有,300223,北京君正,115.1,--,--,--,--,继续持有
2020-02-17,持有,300460,ST惠伦,27.05,--,--,--,--,继续持有
2020-02-17,持有,002791,坚朗五金,50.15,--,--,--,--,继续持有
2020-02-17,持有,603501,豪威集团,192.99,--,--,--,--,继续持有
2020-02-17,持有,300456,赛微电子,33.84,--,--,--,--,继续持有
2020-02-17,持有,300468,四方精创,42.9,--,--,--,--,继续持有
2020-02-17,持有,002555,三七互娱,38.2,--,--,--,--,继续持有
2020-02-17,持有,300088,长信科技,13.49,--,--,--,--,继续持有
2020-02-17,持有,300341,麦克奥迪,13.55,--,--,--,--,继续持有
2020-02-28,卖出,300433,蓝思科技,19.47,10,1000,19470.0,24.34,移出持仓池
2020-02-28,卖出,300460,ST惠伦,20.75,9,900,18675.0,23.34,移出持仓池
2020-02-28,卖出,603501,豪威集团,174.22,1,100,17422.0,21.78,移出持仓池
2020-02-28,卖出,300456,赛微电子,27.94,7,700,19558.0,24.45,移出持仓池
2020-02-28,卖出,300468,四方精创,37.24,5,500,18620.0,23.28,移出持仓池
2020-02-28,卖出,002555,三七互娱,33.86,5,500,16930.0,21.16,移出持仓池
2020-02-28,卖出,300655,晶瑞电材,42.37,4,400,16948.0,21.18,移出持仓池
2020-02-28,卖出,300397,天和防务,43.61,4,400,17444.0,21.8,移出持仓池
2020-02-28,卖出,300390,天华新能,11.8,16,1600,18880.0,23.6,移出持仓池
2020-02-28,卖出,300014,亿纬锂能,66.55,3,300,19965.0,24.96,移出持仓池
2020-02-28,卖出,300088,长信科技,10.82,18,1800,19476.0,24.34,移出持仓池
2020-02-28,卖出,300341,麦克奥迪,9.72,20,2000,19440.0,24.3,移出持仓池
2020-02-28,买入,000652,泰达股份,10.3,19,1900,19570.0,24.46,纳入持仓池
2020-02-28,买入,000955,欣龙控股,11.32,17,1700,19244.0,24.05,纳入持仓池
