date,nav
2020-08-12,1.4873907273461577
2020-08-13,1.4769359340815063
2020-08-14,1.4980864376996466
2020-08-17,1.5352874094563231
2020-08-18,1.5664750451168035
2020-08-19,1.4960184602192548
2020-08-20,1.4574036930252263
2020-08-21,1.4676803958804565
2020-08-24,1.463441510841052
2020-08-25,1.4360515981351092
2020-08-26,1.401211833750058
2020-08-27,1.4257134195573886
2020-08-28,1.4421072922521248
2020-08-31,1.4457546111615727
2020-09-01,1.4570169799036983
2020-09-02,1.453375535475624
2020-09-03,1.4418723813970373
2020-09-04,1.4140550453111538
2020-09-07,1.3478224572739794
2020-09-08,1.3248218874883426
2020-09-09,1.273209363137844
2020-09-10,1.2733104114999978
2020-09-11,1.2734114678818629
2020-09-14,1.2735125322840757
2020-09-15,1.291820621999859
2020-09-16,1.2914138192660796
2020-09-17,1.2977798672483265
2020-09-18,1.318316169504862
2020-09-21,1.3100127856722494
2020-09-22,1.2905114726583309
2020-09-23,1.3087205392927566
2020-09-24,1.269460599429907
2020-09-25,1.276793243081352
2020-09-28,1.274845661004955
2020-09-29,1.2805987811486887
2020-09-30,1.2930952919753234
2020-10-09,1.3461554583068527
2020-10-12,1.3799128980309092
2020-10-13,1.4064533949031677
2020-10-14,1.4006202875984546
2020-10-15,1.3786852036451618
2020-10-16,1.375661166795717
2020-10-19,1.3514975838990386
2020-10-20,1.39143597889588
2020-10-21,1.3520934522810215
2020-10-22,1.3491993824808874
2020-10-23,1.3255328689827477
2020-10-26,1.3529415243795888
2020-10-27,1.3715974777360402
2020-10-28,1.4115411813457033
2020-10-29,1.424939651904409
2020-10-30,1.4347882416054059
2020-11-02,1.4875058334905054
2020-11-03,1.4798410028364286
2020-11-04,1.482152596299352
2020-11-05,1.5333509429608672
2020-11-06,1.509963834958583
2020-11-09,1.5362624289566444
2020-11-10,1.505419549514051
2020-11-11,1.4627788367455064
2020-11-12,1.476681577460007
2020-11-13,1.5054243545239054
2020-11-16,1.5088796259463897
2020-11-17,1.4930790482164318
2020-11-18,1.4864014025635857
2020-11-19,1.505947342263015
2020-11-20,1.5379877851743762
2020-11-23,1.5579125464669223
2020-11-24,1.5484554614716655
2020-11-25,1.508591633380345
2020-11-26,1.4949476898028304
2020-11-27,1.4917610711979759
2020-11-30,1.4903847263778882
2020-12-01,1.5203333049430465
2020-12-02,1.5207670876966937
2020-12-03,1.4840545674040675
2020-12-04,1.4894059530224173
2020-12-07,1.48193366934851
2020-12-08,1.5025151555954919
2020-12-09,1.4710204070491506
2020-12-10,1.484082372558185
